id,order_date,ship_mode,customer_id,sales,ingestion_timestamp,source_system
100006,9/7/2014,standard,982,377.97,2026-02-04 11:02:30.630186,orders_csv
100090,7/8/2014,standard,970,699.192,2026-02-04 11:02:30.630186,orders_csv
100293,3/14/2014,standard,786,91.056,2026-02-04 11:02:30.630186,orders_csv
100328,1/28/2014,standard,765,3.928,2026-02-04 11:02:30.630186,orders_csv
100363,4/8/2014,standard,955,21.376,2026-02-04 11:02:30.630186,orders_csv
100391,5/25/2014,standard,667,14.62,2026-02-04 11:02:30.630186,orders_csv
100678,4/18/2014,standard,98,697.074,2026-02-04 11:02:30.630186,orders_csv
100706,12/16/2014,second,894,129.44,2026-02-04 11:02:30.630186,orders_csv
100762,11/24/2014,standard,314,508.62,2026-02-04 11:02:30.630186,orders_csv
100860,3/26/2014,second,275,18.75,2026-02-04 11:02:30.630186,orders_csv
100867,10/19/2014,standard,889,321.552,2026-02-04 11:02:30.630186,orders_csv
100881,3/28/2014,standard,383,302.376,2026-02-04 11:02:30.630186,orders_csv
100895,6/2/2014,standard,615,605.47,2026-02-04 11:02:30.630186,orders_csv
100916,10/21/2014,standard,639,788.86,2026-02-04 11:02:30.630186,orders_csv
100972,11/19/2014,second,881,166.44,2026-02-04 11:02:30.630186,orders_csv
101147,12/2/2014,first,113,2.394,2026-02-04 11:02:30.630186,orders_csv
101175,12/9/2014,standard,715,100.704,2026-02-04 11:02:30.630186,orders_csv
101266,8/27/2014,second,414,13.36,2026-02-04 11:02:30.630186,orders_csv
101364,12/22/2014,standard,266,296.712,2026-02-04 11:02:30.630186,orders_csv
101392,12/7/2014,standard,514,269.36,2026-02-04 11:02:30.630186,orders_csv
101427,12/26/2014,standard,654,8.016,2026-02-04 11:02:30.630186,orders_csv
101462,4/20/2014,standard,156,59.92,2026-02-04 11:02:30.630186,orders_csv
101476,9/12/2014,first,812,69.99,2026-02-04 11:02:30.630186,orders_csv
101560,11/28/2014,second,793,542.34,2026-02-04 11:02:30.630186,orders_csv
101602,12/15/2014,first,599,803.96,2026-02-04 11:02:30.630186,orders_csv
101770,3/31/2014,standard,964,1.869,2026-02-04 11:02:30.630186,orders_csv
101833,11/17/2014,second,569,34.44,2026-02-04 11:02:30.630186,orders_csv
101931,10/28/2014,first,336,1252.602,2026-02-04 11:02:30.630186,orders_csv
102008,9/30/2014,standard,675,48.94,2026-02-04 11:02:30.630186,orders_csv
102085,10/4/2014,standard,615,29.24,2026-02-04 11:02:30.630186,orders_csv
102274,11/21/2014,standard,469,865.5,2026-02-04 11:02:30.630186,orders_csv
102295,11/24/2014,second,555,120.712,2026-02-04 11:02:30.630186,orders_csv
102330,12/29/2014,standard,998,408.768,2026-02-04 11:02:30.630186,orders_csv
102645,1/23/2014,standard,349,40.08,2026-02-04 11:02:30.630186,orders_csv
102652,4/6/2014,standard,217,199.99,2026-02-04 11:02:30.630186,orders_csv
102673,11/1/2014,standard,211,1044.44,2026-02-04 11:02:30.630186,orders_csv
102869,9/9/2014,second,595,233.244,2026-02-04 11:02:30.630186,orders_csv
102988,4/5/2014,second,639,4251.92,2026-02-04 11:02:30.630186,orders_csv
103058,7/23/2014,first,955,99.98,2026-02-04 11:02:30.630186,orders_csv
103086,10/17/2014,second,534,5.312,2026-02-04 11:02:30.630186,orders_csv
103100,12/20/2014,first,780,1107.66,2026-02-04 11:02:30.630186,orders_csv
103191,9/22/2014,standard,622,331.536,2026-02-04 11:02:30.630186,orders_csv
103219,11/9/2014,standard,852,56.52,2026-02-04 11:02:30.630186,orders_csv
103310,5/10/2014,standard,208,1769.784,2026-02-04 11:02:30.630186,orders_csv
103317,7/5/2014,first,679,242.546,2026-02-04 11:02:30.630186,orders_csv
103331,8/26/2014,standard,124,31.4,2026-02-04 11:02:30.630186,orders_csv
103366,1/15/2014,first,296,149.95,2026-02-04 11:02:30.630186,orders_csv
103373,5/18/2014,standard,956,779.796,2026-02-04 11:02:30.630186,orders_csv
103401,11/21/2014,standard,254,12.96,2026-02-04 11:02:30.630186,orders_csv
103429,5/30/2014,first,302,765.494,2026-02-04 11:02:30.630186,orders_csv
103492,10/10/2014,standard,696,1488.774,2026-02-04 11:02:30.630186,orders_csv
103527,9/9/2014,second,458,10.896,2026-02-04 11:02:30.630186,orders_csv
103590,11/30/2014,standard,29,62.28,2026-02-04 11:02:30.630186,orders_csv
103660,8/25/2014,standard,579,1007.944,2026-02-04 11:02:30.630186,orders_csv
103702,9/12/2014,standard,651,63.924,2026-02-04 11:02:30.630186,orders_csv
103744,2/23/2014,standard,473,11.364,2026-02-04 11:02:30.630186,orders_csv
103800,1/3/2014,standard,999,16.448,2026-02-04 11:02:30.630186,orders_csv
103807,12/2/2014,standard,527,21.19,2026-02-04 11:02:30.630186,orders_csv
103849,5/11/2014,standard,490,225.016,2026-02-04 11:02:30.630186,orders_csv
103940,9/17/2014,standard,907,260.79,2026-02-04 11:02:30.630186,orders_csv
103989,3/19/2014,first,326,590.762,2026-02-04 11:02:30.630186,orders_csv
104178,8/25/2014,standard,60,176.14,2026-02-04 11:02:30.630186,orders_csv
104269,3/1/2014,second,4,457.568,2026-02-04 11:02:30.630186,orders_csv
104283,6/27/2014,standard,962,616.14,2026-02-04 11:02:30.630186,orders_csv
104402,6/17/2014,standard,814,65.97,2026-02-04 11:02:30.630186,orders_csv
104472,6/2/2014,standard,635,133.128,2026-02-04 11:02:30.630186,orders_csv
104563,3/7/2014,standard,152,1143.822,2026-02-04 11:02:30.630186,orders_csv
104738,12/30/2014,second,281,609.614,2026-02-04 11:02:30.630186,orders_csv
104773,12/8/2014,standard,523,60.416,2026-02-04 11:02:30.630186,orders_csv
104780,5/21/2014,standard,199,31.84,2026-02-04 11:02:30.630186,orders_csv
104808,2/4/2014,second,941,17.248,2026-02-04 11:02:30.630186,orders_csv
104829,11/18/2014,second,532,21.98,2026-02-04 11:02:30.630186,orders_csv
104976,12/9/2014,standard,286,34.68,2026-02-04 11:02:30.630186,orders_csv
105165,9/7/2014,first,656,469.043,2026-02-04 11:02:30.630186,orders_csv
