product_id,brand,title,price,category,rating,image_url,product_url,ingestion_timestamp,source_system
B08YRWN3WB,jansport,big student large laptop backpack black ek0a5bahn551,189.0,new season,4.7,https://m.media-amazon.com/images/I/51y2EF0OmOL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08YRWN3WB,2026-02-04 10:57:22.370727,products_csv
B08YRXFZZM,jansport,superbreak day pack,119.0,new season,4.6,https://m.media-amazon.com/images/I/51yvvQUs3SL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08YRXFZZM,2026-02-04 10:57:22.370727,products_csv
B09Q2PQ7ZB,baodini,mini travel umbrella with case small compact uv umbrella protection sun lightweight tiny pocket umbrella,17.79,new season,4.2,https://m.media-amazon.com/images/I/71WbrZPbnGL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09Q2PQ7ZB,2026-02-04 10:57:22.370727,products_csv
B001BEAWXY,calvin klein,men's cotton classics 3-pack boxer brief,119.0,new season,4.2,https://m.media-amazon.com/images/I/716vzeqa7ZL._AC_UL320_.jpg,https://www.amazon.ae/dp/B001BEAWXY,2026-02-04 10:57:22.370727,products_csv
B09FM5PMN3,jansport,unisex kids bag backpack,179.0,new season,4.4,https://m.media-amazon.com/images/I/51XASBuqjrL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09FM5PMN3,2026-02-04 10:57:22.370727,products_csv
B08YRVSZLJ,jansport,superbreak backpack,129.0,new season,4.6,https://m.media-amazon.com/images/I/51kw4XtzuyL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08YRVSZLJ,2026-02-04 10:57:22.370727,products_csv
B0BY12QTS5,yeug,"non slip pilates socks with grips for women, grip socks for yoga ballet barefoot workout anti skid athletic socks",19.0,new season,4.6,https://m.media-amazon.com/images/I/71g1ZrrOk9L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BY12QTS,2026-02-04 10:57:22.370727,products_csv
B09N2PJXRZ,adidas,unisex classic 3-stripes backpack backpack,77.0,new season,4.5,https://m.media-amazon.com/images/I/81Beonq+r1L._AC_UL320_.jpg,https://www.amazon.ae/dp/B09N2PJXRZ,2026-02-04 10:57:22.370727,products_csv
B08GS7DWS1,tommy hilfiger,"theo men watch, analog",209.6,new season,4.4,https://m.media-amazon.com/images/I/614YUufLpwL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08GS7DWS,2026-02-04 10:57:22.370727,products_csv
B08YRXDNB9,jansport,unisex basic accessory pouch pencil case,,new season,4.6,https://m.media-amazon.com/images/I/51fQ6zVFiUL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08YRXDNB9,2026-02-04 10:57:22.370727,products_csv
B09F35Y815,nike,mens elmntl - lbr backpack,119.0,new season,4.6,https://m.media-amazon.com/images/I/61OkQHiZOnL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09F35Y8,2026-02-04 10:57:22.370727,products_csv
B08YRX1PF2,jansport,"jansport big student großer rucksack, 15 inch -laptopfach",123.85,new season,4.6,https://m.media-amazon.com/images/I/61pIosB5rHL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08YRX1PF,2026-02-04 10:57:22.370727,products_csv
B0C8TJ79FM,livbote,"gym bag for women men with shoe compartment, sport duffel bag, waterproof travel weekender overnight carry on bag for yoga with trolley sleeve, black, a-black, shoe compartment",37.9,new season,4.5,https://m.media-amazon.com/images/I/71G56RIbyGL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0C8TJ79FM,2026-02-04 10:57:22.370727,products_csv
B09N2NDN9V,adidas,unisex power backpack backpack,87.15,new season,4.6,https://m.media-amazon.com/images/I/91fV9nyuv7L._AC_UL320_.jpg,https://www.amazon.ae/dp/B09N2NDN9V,2026-02-04 10:57:22.370727,products_csv
B09NYGYSM7,nike,nk brsla xs duff - 9.5 (25l),109.0,new season,4.7,https://m.media-amazon.com/images/I/81E3Y3wxgxL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09NYGYSM7,2026-02-04 10:57:22.370727,products_csv
B08YRYDXYB,jansport,unisex big student big student,189.0,new season,4.6,https://m.media-amazon.com/images/I/510wZIlA3rL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08YRYDXYB,2026-02-04 10:57:22.370727,products_csv
